experience,performance,attendance,promoted
11,57,61,0
4,64,68,0
11,97,94,1
7,52,61,0
4,82,98,0
4,95,94,1
8,87,77,1
1,98,70,1
6,67,69,0
6,56,65,0
6,72,98,1
1,96,89,1
7,55,95,0
11,89,83,1
12,54,62,0
5,55,74,0
7,67,89,1
6,60,83,0
11,67,64,0
3,84,75,0
7,67,100,1
4,93,80,1
1,64,62,0
7,67,64,0
10,95,80,1
8,75,89,1
3,65,95,0
12,87,87,1
7,73,74,1
3,82,91,0
1,57,69,0
11,77,98,1
7,88,89,1
9,50,67,0
9,98,77,1
6,57,78,0
8,50,76,0
3,82,66,0
5,90,92,1
3,73,70,0
9,50,98,0
1,57,83,0
5,65,63,0
10,55,65,0
2,98,94,1
3,92,90,1
3,66,93,0
7,63,94,1
12,62,79,0
11,91,83,1
9,78,67,0
2,71,61,0
4,87,74,0
12,90,63,1
1,71,64,0
5,92,91,1
3,96,96,1
4,100,90,1
4,56,66,0
6,77,86,1
12,53,66,0
12,71,66,0
4,84,88,0
3,67,89,0
2,78,95,0
11,84,60,1
4,60,86,0
4,75,63,0
1,74,76,0
8,68,87,1
12,100,95,1
8,59,72,0
1,87,94,0
6,53,63,0
9,83,70,0
9,55,71,0
2,93,75,0
10,65,97,1
10,55,86,0
10,83,80,1
4,92,80,1
7,58,79,0
2,50,89,0
10,56,64,0
9,66,68,0
2,65,83,0
8,84,79,1
11,83,60,1
9,69,66,0
3,66,67,0
12,85,69,1
10,63,81,0
11,66,92,1
1,55,100,0
5,52,60,0
3,90,76,0
8,85,87,1
2,54,69,0
6,87,95,1
3,52,79,0
