experience,performance,attendance,promoted
11.0,57.0,61,0
4.0,64.0,68,0
11.0,97.0,94,1
7.0,52.0,61,0
4.0,82.0,98,0
4.0,95.0,94,1
8.0,87.0,77,1
1.0,98.0,70,1
6.0,67.0,69,0
6.0,56.0,65,0
6.0,72.0,98,1
1.0,96.0,89,1
7.0,55.0,95,0
11.0,89.0,83,1
12.0,54.0,62,0
5.0,55.0,74,0
7.0,67.0,89,1
6.0,60.0,83,0
11.0,67.0,64,0
3.0,84.0,75,0
7.0,67.0,100,1
4.0,93.0,80,1
1.0,64.0,62,0
7.0,67.0,64,0
10.0,95.0,80,1
8.0,75.0,89,1
3.0,65.0,95,0
12.0,87.0,87,1
7.0,73.0,74,1
3.0,82.0,91,0
1.0,57.0,69,0
11.0,77.0,98,1
7.0,88.0,89,1
9.0,50.0,67,0
9.0,98.0,77,1
6.0,57.0,78,0
8.0,50.0,76,0
3.0,72.6,66,0
5.0,90.0,92,1
3.0,73.0,70,0
9.0,50.0,98,0
1.0,57.0,83,0
5.0,65.0,63,0
10.0,55.0,65,0
2.0,98.0,94,1
3.0,92.0,90,1
3.0,66.0,93,0
7.0,63.0,94,1
12.0,62.0,79,0
11.0,91.0,83,1
9.0,78.0,67,0
2.0,71.0,61,0
4.0,87.0,74,0
6.2,90.0,63,1
1.0,72.6,64,0
5.0,92.0,91,1
3.0,96.0,96,1
4.0,100.0,90,1
4.0,56.0,66,0
6.0,77.0,86,1
12.0,53.0,66,0
12.0,71.0,66,0
4.0,84.0,88,0
3.0,67.0,89,0
2.0,78.0,95,0
11.0,72.6,60,1
4.0,60.0,86,0
4.0,75.0,63,0
1.0,74.0,76,0
8.0,68.0,87,1
6.2,100.0,95,1
8.0,59.0,72,0
1.0,87.0,94,0
6.0,53.0,63,0
9.0,83.0,70,0
9.0,55.0,71,0
2.0,93.0,75,0
10.0,65.0,97,1
10.0,55.0,86,0
10.0,72.6,80,1
4.0,92.0,80,1
7.0,58.0,79,0
2.0,50.0,89,0
6.2,56.0,64,0
9.0,66.0,68,0
2.0,65.0,83,0
8.0,84.0,79,1
11.0,83.0,60,1
9.0,69.0,66,0
3.0,66.0,67,0
12.0,85.0,69,1
10.0,63.0,81,0
11.0,66.0,92,1
1.0,55.0,100,0
5.0,52.0,60,0
3.0,90.0,76,0
8.0,85.0,87,1
2.0,54.0,69,0
6.0,87.0,95,1
3.0,52.0,79,0
